Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,9982.599609,10291.400391,9400.299805,9465.500000,9465.500000,4002713400
2018-06-01,9544.700195,9985.900391,9506.599609,9622.700195,9622.700195,3911454800
2018-07-01,9526.299805,9971.599609,9443.500000,9870.700195,9870.700195,3418150700
2018-08-01,9871.099609,9902.299805,9339.500000,9399.099609,9399.099609,3050450100
2018-09-01,9387.700195,9665.400391,9111.099609,9389.200195,9389.200195,3393043900
2018-10-01,9384.299805,9475.200195,8627.599609,8893.500000,8893.500000,4734801200
2018-11-01,8882.500000,9232.299805,8829.599609,9077.200195,9077.200195,3559637300
2018-12-01,9239.799805,9262.099609,8286.200195,8539.900391,8539.900391,3502102800
2019-01-01,8448.299805,9225.400391,8354.799805,9056.700195,9056.700195,3330623000
2019-02-01,9058.599609,9293.099609,8826.500000,9277.700195,9277.700195,3341982100
2019-03-01,9313.500000,9532.900391,9106.799805,9240.299805,9240.299805,3728201100
2019-04-01,9304.799805,9588.200195,9269.700195,9570.599609,9570.599609,3280144200
2019-05-01,9545.500000,9559.700195,8959.500000,9004.200195,9004.200195,3353960600
2019-06-01,8945.700195,9332.500000,8903.099609,9198.799805,9198.799805,3254319800
2019-07-01,9290.299805,9453.000000,8946.700195,8971.000000,8971.000000,3500826800
2019-08-01,8947.599609,9038.200195,8409.200195,8812.900391,8812.900391,3585527500
2019-09-01,8810.799805,9257.299805,8772.799805,9244.599609,9244.599609,3963369200
2019-10-01,9277.000000,9494.500000,8850.599609,9257.500000,9257.500000,3728062800
2019-11-01,9293.099609,9482.500000,9132.799805,9352.000000,9352.000000,3441821700
2019-12-01,9367.200195,9700.500000,9110.099609,9549.200195,9549.200195,3051455700
2020-01-01,9639.099609,9709.900391,9357.799805,9367.900391,9367.900391,3315811500
2020-02-01,9404.400391,10100.200195,8582.700195,8723.200195,8723.200195,4255071000
2020-03-01,8910.200195,9014.299805,5814.500000,6785.399902,6785.399902,8461280200
2020-04-01,6627.299805,7209.700195,6424.500000,6922.299805,6922.299805,4461830400
2020-05-01,6767.700195,7244.500000,6421.399902,7096.500000,7096.500000,5955083900
2020-06-01,7228.700195,7992.700195,7062.899902,7231.399902,7231.399902,8096492600
2020-07-01,7245.600098,7654.799805,6877.399902,6877.399902,6877.399902,4957069900
2020-08-01,6867.399902,7321.899902,6788.899902,6969.500000,6969.500000,3894889200
2020-09-01,7038.500000,7159.600098,6552.299805,6716.600098,6716.600098,6278361100
2020-10-01,6789.100098,7024.600098,6329.500000,6452.200195,6452.200195,4961102800
2020-11-01,6481.399902,8199.900391,6396.299805,8076.899902,8076.899902,7630817100
2020-12-01,8112.700195,8322.900391,7663.500000,8073.700195,8073.700195,4869546400
2021-01-01,8191.799805,8439.700195,7713.500000,7757.500000,7757.500000,4068253200
2021-02-01,7823.000000,8387.000000,7779.799805,8225.000000,8225.000000,4223921700
2021-03-01,8324.599609,8740.099609,8239.700195,8580.000000,8580.000000,4963591400
2021-04-01,8595.599609,8869.900391,8426.200195,8815.000000,8815.000000,3439180000
2021-05-01,8821.599609,9254.700195,8796.299805,9148.900391,9148.900391,3817060300
2021-06-01,9167.299805,9310.799805,8765.299805,8821.200195,8821.200195,3474504900
2021-07-01,8862.299805,8968.099609,8252.200195,8675.700195,8675.700195,3228649700
2021-08-01,8723.299805,9015.700195,8723.299805,8846.599609,8846.599609,2486258000
2021-09-01,8923.700195,9055.500000,8551.200195,8796.299805,8796.299805,3918300700
2021-10-01,8693.400391,9057.700195,8654.799805,9057.700195,9057.700195,3503237100
2021-11-01,9064.599609,9198.099609,8260.700195,8305.099609,8305.099609,4211864700
2021-12-01,8357.099609,8728.000000,8082.399902,8713.799805,8713.799805,3337560800
2022-01-01,8729.700195,8866.599609,8361.400391,8612.799805,8612.799805,3894738700
2022-02-01,8679.900391,8912.200195,8048.000000,8479.200195,8479.200195,5219313000
2022-03-01,8462.099609,8621.000000,7287.700195,8445.099609,8445.099609,6306474100
2022-04-01,8481.700195,8533.000000,8442.799805,8503.700195,8503.700195,150411500
