Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,16.799999,23.400000,16.120001,21.980000,21.980000,2185200
2019-12-01,22.660000,38.750000,20.719999,33.880001,33.880001,4138000
2020-01-01,35.750000,48.849998,28.500000,29.209999,29.209999,6224700
2020-02-01,29.799999,35.099998,28.690001,35.099998,35.099998,3505700
2020-03-01,35.009998,105.000000,28.000000,58.400002,58.400002,16119200
2020-04-01,56.349998,58.195000,37.000000,47.480000,47.480000,34637900
2020-05-01,46.000000,60.430000,43.000000,49.529999,49.529999,31655400
2020-06-01,50.000000,71.379997,46.549999,66.739998,66.739998,31476800
2020-07-01,77.699997,104.989998,62.299999,82.110001,82.110001,118989500
2020-08-01,82.989998,85.480003,60.340000,61.250000,61.250000,57549800
2020-09-01,58.709999,70.000000,54.099998,69.230003,69.230003,51085200
2020-10-01,70.000000,97.290001,69.309998,85.360001,85.360001,58673800
2020-11-01,87.903999,124.910004,83.180000,124.239998,124.239998,96810700
2020-12-01,124.500000,131.000000,80.550003,81.519997,81.519997,102315600
2021-01-01,85.450996,118.169998,83.000000,116.940002,116.940002,55742000
2021-02-01,117.849998,120.989998,106.199997,109.029999,109.029999,29417200
2021-03-01,110.000000,111.449997,90.290001,109.190002,109.190002,32689900
2021-04-01,110.510002,193.850006,110.000000,188.279999,188.279999,57889300
2021-05-01,202.250000,213.149994,145.000000,204.000000,204.000000,80895000
2021-06-01,204.570007,252.779999,199.500000,223.880005,223.880005,54352900
2021-07-01,224.500000,331.000000,194.039993,328.350006,328.350006,70306500
2021-08-01,345.260010,464.000000,320.000000,329.190002,329.190002,136471700
2021-09-01,334.250000,374.850006,268.829987,272.989990,272.989990,67715000
2021-10-01,251.000000,304.350006,230.029999,278.730011,278.730011,50899600
2021-11-01,282.000000,374.579987,207.509995,351.739990,351.739990,91632200
2021-12-01,335.649994,346.799988,231.729996,257.799988,257.799988,67450600
2022-01-01,253.869995,256.140015,135.130005,172.080002,172.080002,61795600
2022-02-01,182.179993,184.130005,138.565994,150.809998,150.809998,30328900
2022-03-01,150.270004,179.839996,121.320000,172.389999,172.389999,36261900
