Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M01;3,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M12;1,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M11;0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M10;0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M09;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M08;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M07;-0,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M06;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M05;-1,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M04;-1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M03;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M02;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M01;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M12;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M11;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M10;-0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M09;-0,9
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M08;-0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M07;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M06;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M05;-0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M04;-0,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M03;-0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M02;-1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M01;-1,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M12;-1,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M11;-0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M10;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M09;-0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M08;-0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M07;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M06;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M05;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M04;0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M03;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M02;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M01;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M12;0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M11;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M10;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M09;0,3
