"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"FEB 2019",96.320,95.534,99.146,88.591,94.765,98.203,98.715,95.510,104.653,99.467,99.030,96.563,97.312
"MAR 2019",96.669,95.190,99.259,92.490,94.008,98.407,98.791,96.571,104.424,99.787,99.023,97.095,97.391
"ABR 2019",97.644,95.171,99.217,102.164,93.840,98.740,98.927,97.820,104.317,100.660,99.026,97.928,97.540
"MAY 2019",97.834,95.586,99.314,104.632,93.329,99.030,98.991,98.267,104.462,99.179,99.034,98.314,97.544
"JUN 2019",97.719,95.960,99.211,103.318,92.752,99.119,99.000,96.911,104.221,100.861,99.047,98.627,97.820
"JUL 2019",97.113,95.705,99.199,90.319,93.358,98.287,99.053,97.190,104.374,102.524,99.050,99.025,97.426
"AGO 2019",97.059,95.801,99.229,89.215,92.469,98.415,98.933,97.098,104.545,103.681,99.052,99.098,97.673
"SEP 2019",97.059,95.716,99.217,94.045,92.000,98.573,98.984,97.252,104.601,100.500,99.179,99.071,97.743
"OCT 2019",98.001,97.141,99.253,104.555,92.973,99.061,99.078,97.071,104.327,99.570,99.805,98.673,97.889
"NOV 2019",98.167,97.108,99.210,109.646,92.563,99.249,99.140,96.952,104.245,99.213,99.850,98.212,98.042
"DIC 2019",98.096,96.946,98.885,107.348,91.509,99.121,99.165,97.617,103.986,101.209,99.865,98.134,98.191
"ENE 2020",97.139,97.208,99.305,90.905,92.416,98.490,99.149,97.926,103.936,99.109,99.883,97.928,98.350
"FEB 2020",97.024,97.436,99.715,89.583,91.276,98.551,99.065,97.272,103.925,99.906,99.873,98.642,98.656
"MAR 2020",96.652,97.575,99.752,93.512,89.481,98.819,99.100,94.243,105.202,99.762,99.873,98.922,98.768
"ABR 2020",96.944,98.955,99.910,103.159,87.674,99.149,99.145,91.173,105.031,100.602,99.883,99.621,98.924
"MAY 2020",96.938,98.943,100.034,105.590,87.722,99.435,99.264,90.440,104.911,99.080,99.873,100.050,99.095
"JUN 2020",97.385,98.636,99.859,104.260,89.206,99.344,99.292,91.860,104.908,100.510,99.867,100.384,99.186
"JUL 2020",96.511,97.815,99.721,91.262,89.690,98.906,99.499,92.824,103.125,101.350,99.855,99.309,98.987
"AGO 2020",96.555,97.905,99.726,90.144,89.936,98.844,99.431,92.825,103.275,101.550,99.864,99.563,99.145
"SEP 2020",96.700,97.983,99.763,94.982,90.674,99.000,99.404,92.374,103.127,99.378,100.335,99.323,99.164
"OCT 2020",97.208,99.329,99.705,105.562,89.625,99.323,99.328,92.101,99.963,98.876,99.569,98.954,99.234
"NOV 2020",97.367,98.407,99.711,110.657,90.572,99.482,99.543,91.994,99.868,98.358,99.641,98.481,99.295
"DIC 2020",97.574,98.049,99.194,108.284,91.448,99.478,99.649,93.328,99.755,99.599,99.632,98.443,99.354
"ENE 2021",97.583,98.891,99.694,91.726,95.346,99.198,99.620,94.764,100.290,99.183,99.638,98.555,99.449
"FEB 2021",97.008,98.953,99.897,90.482,90.314,99.040,99.583,96.076,100.255,99.529,99.645,98.685,99.562
"MAR 2021",97.949,98.986,99.758,94.495,93.309,99.417,99.714,97.828,100.086,99.539,99.643,98.883,99.575
"ABR 2021",99.105,99.281,99.762,104.254,96.478,99.736,99.753,97.889,100.195,99.376,99.667,99.166,99.761
"MAY 2021",99.572,99.706,99.742,106.650,96.832,100.065,99.850,98.943,100.174,99.304,99.679,99.424,99.674
"JUN 2021",100.046,99.699,99.550,105.264,98.903,100.156,100.037,100.015,100.182,99.727,99.691,99.893,100.056
"JUL 2021",99.292,99.493,99.485,92.189,98.144,99.692,100.145,100.681,100.056,100.312,99.701,100.434,100.007
"AGO 2021",99.743,99.760,99.553,91.143,100.308,99.647,100.126,100.971,100.102,100.986,99.705,100.885,100.005
"SEP 2021",100.575,99.704,100.070,95.998,103.846,99.937,100.193,101.446,100.209,100.281,100.298,100.754,100.061
"OCT 2021",102.425,101.013,100.820,106.683,107.963,100.529,100.182,103.442,99.482,100.352,100.713,100.890,100.263
"NOV 2021",102.738,101.609,100.874,111.726,105.820,101.033,100.297,104.452,99.523,100.126,100.800,100.974,100.699
"DIC 2021",103.965,102.903,100.795,109.391,112.736,101.549,100.499,103.494,99.444,101.284,100.820,101.458,100.887
"ENE 2022",103.567,103.593,101.308,95.143,112.574,102.099,100.500,105.464,99.666,100.366,100.828,101.457,101.293
"FEB 2022",104.403,104.470,102.227,93.722,113.252,102.689,100.575,108.360,99.575,101.049,100.836,102.219,101.901
"MAR 2022",107.566,105.729,102.787,97.291,124.213,103.616,100.852,116.015,99.600,100.762,100.819,103.217,102.390
"ABR 2022",107.375,109.328,103.127,105.585,114.653,105.164,101.074,110.466,100.092,102.301,100.817,104.937,102.859
"MAY 2022",108.262,110.658,103.146,108.442,113.807,105.984,101.073,113.642,99.964,101.553,100.835,105.700,103.159
"JUN 2022",110.267,112.609,103.589,107.796,117.695,106.704,101.093,119.210,99.898,102.796,100.844,107.102,103.691
"FUENTE","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA"
"NOTAS","","","","","","","","","","","","",""
