"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"AGO 2004",75.661,73.122,52.614,86.226,63.641,85.373,89.829,70.918,120.161,106.309,63.928,72.389,70.683
"SEP 2004",75.796,73.144,52.641,88.842,63.792,85.507,89.876,71.046,120.055,104.962,64.467,71.823,70.793
"OCT 2004",76.575,73.166,52.630,96.415,64.340,85.906,89.926,71.865,119.964,104.030,65.763,71.807,70.841
"NOV 2004",76.767,73.441,52.611,99.168,64.368,86.226,89.997,71.428,119.472,103.206,66.171,71.842,70.905
"DIC 2004",76.692,73.643,52.607,98.462,64.277,86.468,90.067,70.523,119.425,104.103,66.238,72.067,70.930
"ENE 2005",76.046,74.154,52.691,87.227,64.618,86.092,90.337,70.427,119.685,102.885,66.514,72.330,71.977
"FEB 2005",76.243,74.013,52.772,86.439,64.877,86.218,90.374,71.399,119.489,103.184,66.532,72.716,72.406
"MAR 2005",76.846,74.316,52.770,89.196,65.378,86.469,89.717,72.334,118.505,104.022,66.552,73.340,72.590
"ABR 2005",77.953,74.801,54.439,97.481,66.280,87.020,90.164,73.169,118.331,103.070,66.575,73.624,72.795
"MAY 2005",78.102,74.877,54.460,98.568,66.297,87.479,90.331,73.245,118.226,102.621,66.582,73.821,72.851
"JUN 2005",78.284,74.883,54.667,97.974,66.523,87.770,90.472,73.798,118.225,103.210,66.593,74.175,72.961
"JUL 2005",77.805,74.724,54.668,87.456,67.082,87.097,90.563,75.040,117.959,104.463,66.620,74.815,72.861
"AGO 2005",78.147,74.999,54.720,86.977,67.375,87.132,90.597,75.870,117.857,105.767,66.628,75.467,72.850
"SEP 2005",78.627,75.159,55.112,89.926,67.670,87.457,90.660,77.533,117.798,104.369,67.118,74.923,72.960
"OCT 2005",79.266,75.295,55.203,97.965,68.080,87.800,90.666,76.967,117.670,103.848,68.741,74.911,73.073
"NOV 2005",79.386,75.749,55.232,100.794,68.207,88.126,90.709,75.571,117.616,103.341,68.913,74.880,73.160
"DIC 2005",79.557,76.712,55.292,99.871,68.128,88.345,90.703,74.899,117.437,104.771,68.948,75.138,73.333
"ENE 2006",79.234,77.434,54.088,88.229,69.637,87.997,90.946,76.015,117.843,103.088,69.052,75.565,74.448
"FEB 2006",79.272,77.218,52.520,87.432,69.928,88.261,91.307,76.537,117.556,103.349,69.102,75.984,74.626
"MAR 2006",79.833,77.250,55.466,90.345,70.283,88.692,90.997,76.987,117.186,103.144,69.129,76.461,75.073
"ABR 2006",80.959,77.398,55.621,98.784,71.031,89.345,91.352,78.105,116.919,104.191,69.175,77.125,75.296
"MAY 2006",81.251,77.565,55.751,99.980,71.293,89.771,91.482,78.992,116.815,103.212,69.180,77.148,75.398
"JUN 2006",81.374,77.980,55.824,99.343,71.370,90.005,91.674,78.727,116.601,103.772,69.186,77.477,75.660
"JUL 2006",80.890,78.298,55.838,88.418,71.617,89.425,91.887,79.363,116.339,105.028,69.233,78.153,75.667
"AGO 2006",81.055,78.423,55.637,87.910,71.689,89.487,91.914,79.484,116.436,106.299,69.251,78.799,75.716
"SEP 2006",80.922,78.642,55.694,90.968,71.622,89.778,91.954,77.677,116.487,104.631,69.781,78.216,75.845
"OCT 2006",81.254,78.596,55.707,99.241,71.385,90.116,92.040,76.176,116.214,103.496,71.480,78.223,75.961
"NOV 2006",81.455,78.730,55.778,102.139,71.421,90.495,92.129,75.970,115.983,102.627,71.903,78.193,76.004
"DIC 2006",81.678,79.148,56.089,101.151,71.496,90.678,92.206,76.264,115.682,104.183,71.987,78.435,76.161
"ENE 2007",81.129,79.275,58.887,89.364,72.336,90.512,92.417,76.180,116.286,102.302,72.234,79.058,77.259
"FEB 2007",81.184,79.146,59.020,88.300,72.576,90.530,92.666,76.456,115.912,102.675,72.282,79.508,77.389
"MAR 2007",81.800,79.456,59.096,91.280,73.021,90.989,89.112,77.564,117.522,103.217,72.302,80.029,77.678
"ABR 2007",82.930,79.910,59.138,99.809,73.270,91.707,89.447,78.617,117.287,103.789,72.317,80.951,77.914
"MAY 2007",83.158,80.008,59.183,101.109,73.406,92.087,89.594,79.374,116.897,102.990,72.321,80.935,77.958
"JUN 2007",83.311,80.153,59.225,100.476,73.596,92.382,89.689,79.691,117.395,103.079,72.337,81.327,78.046
"JUL 2007",82.704,80.361,59.266,89.339,73.849,91.800,89.864,79.847,117.140,103.949,72.385,82.085,77.994
"AGO 2007",82.818,80.618,59.264,88.753,73.937,91.776,89.895,79.435,116.985,105.306,72.390,82.742,78.030
"SEP 2007",83.090,81.349,59.250,91.843,73.914,92.006,89.905,79.673,116.977,103.536,72.929,82.020,78.128
"OCT 2007",84.167,82.929,59.366,100.108,74.406,92.388,90.110,79.902,116.865,102.720,74.694,81.992,78.227
"NOV 2007",84.770,83.672,59.434,103.344,74.809,92.691,90.197,80.999,116.762,101.896,74.864,81.933,78.299
"DIC 2007",85.125,84.388,59.494,102.319,74.905,92.973,90.288,81.664,116.573,103.338,74.918,82.274,78.437
"ENE 2008",84.598,84.830,60.716,90.172,76.198,92.783,90.668,81.732,117.046,101.920,75.025,82.864,79.139
"FEB 2008",84.730,84.709,61.334,89.011,76.433,92.869,90.993,82.007,116.912,102.200,75.046,83.351,79.770
"MAR 2008",85.482,84.932,61.442,92.039,76.977,93.301,89.938,83.384,116.972,103.383,75.055,84.167,80.069
